Date,Close,Volume,Open,High,Low
2017-09-13,73.246,20855925,72.764,73.614,71.918
2017-09-14,75.528,35851315,72.866,75.592,72.526
2017-09-15,75.962,27036135,74.902,76.0,74.54
2017-09-18,77.0,35888865,76.05,77.922,75.536
2017-09-19,75.02,32176040,76.0,76.478,74.714
2017-09-20,74.782,24549790,74.6,75.6498,74.214
2017-09-21,73.296,23054360,74.98,75.366,72.902
2017-09-22,70.218,40714475,73.298,73.98,70.176
2017-09-25,68.998,37935790,70.63,71.4938,68.576
2017-09-26,69.05,35748245,70.186,70.248,68.18
2017-09-27,68.194,30136875,69.98,70.2978,68.1
2017-09-28,67.92,26548895,67.976,68.55,67.08
2017-09-29,68.22,25495255,68.372,68.936,67.7202
2017-10-02,68.306,26137735,68.504,68.74,67.102
2017-10-03,69.628,50612750,67.18,69.71,66.256
2017-10-04,71.002,40739975,70.25,71.724,69.92
2017-10-05,71.066,20839565,71.2,71.487,70.27
